concept,observations,companies,kind,units,context_kind,pct_numeric_null,example_values
Equity,6327,1935,numeric,EUR; GBP; USD,instant,0.51,"[""0"",""100,000"",""33,454""]"
Creditors,3732,1424,numeric,EUR; GBP; USD,instant,4.56,"[""0"",""110,634"",""90,641""]"
NetAssetsLiabilities,3129,1692,numeric,EUR; GBP; USD,instant,0.35,"[""0"",""66,546"",""57,362""]"
AverageNumberEmployeesDuringPeriod,3005,1686,numeric,GBP; pure,duration,2.13,"[""0"",""7"",""4""]"
NetCurrentAssetsLiabilities,2967,1596,numeric,EUR; GBP; USD,instant,0.61,"[""0"",""101,028"",""40,110""]"
TotalAssetsLessCurrentLiabilities,2812,1495,numeric,GBP; USD,instant,0.60,"[""0"",""116,546"",""57,362""]"
CurrentAssets,2735,1456,numeric,EUR; GBP; USD,instant,1.43,"[""211,662"",""130,751"",""447,070""]"
NameEntityOfficer,2691,1940,non_numeric,,duration,100.00,"[""J D S Hartley"",""Mr Neil Conwell"",""Mrs A Camm""]"
DirectorSigningFinancialStatements,2687,1992,non_numeric,,duration,100.00,"["""",""J A Eite""]"
PropertyPlantEquipment,2330,509,numeric,GBP,instant,5.58,"[""15,518"",""17,252"",""2,955""]"
EndDateForPeriodCoveredByReport,2241,1993,non_numeric,,instant,100.00,"[""2021-05-31"",""2021-04-30"",""30.4.21""]"
BalanceSheetDate,2135,1862,non_numeric,,instant,100.00,"[""31 May 2021"",""30 April 2021"",""30.4.21""]"
StartDateForPeriodCoveredByReport,2019,1993,non_numeric,,instant,100.00,"[""2020-06-01"",""2020-05-01"",""1.5.20""]"
EntityCurrentLegalOrRegisteredName,1993,1993,non_numeric,,duration,100.00,"[""SKIPTON MILL COMPANY LIMITED(THE)"",""C W W ENGINEERS SUPPLY COMPANY LIMITED"",""A.Camm Limited""]"
UKCompaniesHouseRegisteredNumber,1993,1993,non_numeric,,duration,100.00,"[""00003467"",""0500762"",""00691607""]"
AccountsTypeFullOrAbbreviated,1992,1992,non_numeric,,duration,100.00,"["""",""Full Accounts"",""AbridgedAccounts""]"
DateAuthorisationFinancialStatementsForIssue,1992,1992,non_numeric,,instant,100.00,"[""19 January 2022"",""14 January 2022"",""6 October 2021""]"
EntityDormantTruefalse,1992,1992,non_numeric,,duration,100.00,"[""false"",""true"",""""]"
EntityTradingStatus,1992,1992,non_numeric,,duration,100.00,"["""",""The company was trading for the entire period"",""Trading""]"
AccountingStandardsApplied,1991,1991,non_numeric,,duration,100.00,"["""",""The accounts were prepared in accordance with FRS102A"",""The accounts were prepared in accordance with frs102""]"
AccountsStatusAuditedOrUnaudited,1991,1991,non_numeric,,duration,100.00,"["""",""The accounts have been audited"",""With an accountants report""]"
StatementThatAccountsHaveBeenPreparedInAccordanceWithProvisionsSmallCompaniesRegime,1986,1986,non_numeric,,duration,100.00,"[""The accounts have been prepared in accordance with the micro-entity provisions and delivered in accordance with the pro…"",""These financial statements have been prepared and delivered in accordance with the provisions applicable to companies s…"",""The financial statements have been prepared and delivered in accordance with the provisions applicable to companies sub…""]"
