concept,dimension,member,observations,companies,company_periods
AverageNumberEmployeesDuringPeriod,OriginalRevisedDataDimension,Original,489089,252673,486370
AverageNumberEmployeesDuringPeriod,GroupCompanyDataDimension,Consolidated,14222,4784,12089
AverageNumberEmployeesDuringPeriod,ContinuingDiscontinuedOperationsDimension,ContinuingOperations,136,84,129
AverageNumberEmployeesDuringPeriod,ConsolidationDimension,Consolidated,71,26,61
AverageNumberEmployeesDuringPeriod,RestatementsFirstTimeAdoptionDimension,RestatedAmount,20,18,20
AverageNumberEmployeesDuringPeriod,ContractTypeDimension,OtherContractType1,8,3,7
AverageNumberEmployeesDuringPeriod,SexDimension,SexPreferNotToDisclose,8,5,8
AverageNumberEmployeesDuringPeriod,ExceptionalsDimension,ExplicitlyIdentifiedAsNon-exceptional,6,3,6
AverageNumberEmployeesDuringPeriod,RestatementsFirstTimeAdoptionDimension,IncreaseDecreaseDueToTransitionFromPreviousStandard,6,5,6
AverageNumberEmployeesDuringPeriod,SegmentReconciliationDimension,OriginalSegmentValueBeforeAdjustments,5,4,5
AverageNumberEmployeesDuringPeriod,GeographicSegmentsDimension,UnitedKingdom,5,3,5
AverageNumberEmployeesDuringPeriod,OperatingSegmentsDimension,TotalReportableOperatingSegmentsIncludingAnyUnallocatedAmount,5,4,5
AverageNumberEmployeesDuringPeriod,ContractDurationDimension,OtherDurationType1,4,1,4
AverageNumberEmployeesDuringPeriod,ContractTypeDimension,OtherContractType2,4,2,4
AverageNumberEmployeesDuringPeriod,ContractTypeDimension,FixedPrice,4,2,4
AverageNumberEmployeesDuringPeriod,OperatingSegmentsDimension,UnallocatedAmountReportableOperatingSegments,2,1,2
AverageNumberEmployeesDuringPeriod,ProductsServicesDimension,TotalBeforeUnallocatedAmountProductsServices,2,1,2
AverageNumberEmployeesDuringPeriod,ContractDurationDimension,Long-termContract,1,1,1
AverageNumberEmployeesDuringPeriod,ContinuingDiscontinuedOperationsDimension,SpecificDiscontinuedOperation1,1,1,1
AverageNumberEmployeesDuringPeriod,MajorCustomersDimension,TotalReportableMajorCustomersIncludingAnyUnallocatedAmount,1,1,1
AverageNumberEmployeesDuringPeriod,OperatingSegmentsDimension,ReportableOperatingSegment1,1,1,1
AverageNumberEmployeesDuringPeriod,ExceptionalsDimension,Exceptional,1,1,1
AverageNumberEmployeesDuringPeriod,ProductsServicesDimension,TotalReportableProductsServicesIncludingAnyUnallocatedAmount,1,1,1
AverageNumberEmployeesDuringPeriod,SexDimension,SexMale,1,1,1
AverageNumberEmployeesDuringPeriod,GeographicSegmentsDimension,TotalGeographicSegmentsIncludingAnyUnallocatedAmount,1,1,1
CashBankOnHand,OriginalRevisedDataDimension,Original,298140,153191,296599
CashBankOnHand,GroupCompanyDataDimension,Consolidated,19495,6252,16106
CashBankOnHand,CharityFundsDimension,TotalUnrestrictedFunds,8402,2633,8398
CashBankOnHand,CharityFundsDimension,TotalRestrictedIncomeFunds,8290,2528,8286
CashBankOnHand,RestatementsFirstTimeAdoptionDimension,IncreaseDecreaseDueToTransitionFromPreviousStandard,1449,801,1448
CashBankOnHand,RestatementsFirstTimeAdoptionDimension,PreviouslyStatedAmount,931,585,924
CashBankOnHand,FinancialInstrumentCurrentNon-currentDimension,CurrentFinancialInstruments,398,196,379
CashBankOnHand,RestatementsFirstTimeAdoptionDimension,RestatedAmount,378,359,378
CashBankOnHand,MaturitiesOrExpirationPeriodsDimension,WithinOneYear,307,147,296
CashBankOnHand,CharityFundsDimension,TotalEndowmentFunds,219,75,219
CashBankOnHand,ContinuingDiscontinuedOperationsDimension,ContinuingOperations,133,25,90
CashBankOnHand,RestatementsFirstTimeAdoptionDimension,CumulativeEffectDateInitialApplicationIncreaseDecrease,12,5,12
CashBankOnHand,RestatementsFirstTimeAdoptionDimension,PriorPeriodIncreaseDecrease,12,10,12
CashBankOnHand,FinancialAssetsClassesCategoriesDimension,Available-for-saleFinancialAssets,12,1,7
CashBankOnHand,ProductsServicesDimension,ProductService2,8,8,8
CashBankOnHand,ProductsServicesDimension,ProductService1,8,8,8
CashBankOnHand,RestatementsFirstTimeAdoptionDimension,PriorPeriodErrorIncreaseDecrease,6,4,6
CashBankOnHand,RestatementsFirstTimeAdoptionDimension,AccountingPolicyChangeIncreaseDecrease,6,3,6
CashBankOnHand,FinancialInstrumentCurrentNon-currentDimension,Non-currentFinancialInstruments,3,3,3
CashBankOnHand,MaturitiesOrExpirationPeriodsDimension,AfterOneYear,2,2,2
CashBankOnHand,CurrencyDenominationFinancialInstrumentsDimension,PoundSterling,2,1,2
CashBankOnHand,CharityFundsDimension,UnrestrictedFundsGeneral,1,1,1
Creditors,MaturitiesOrExpirationPeriodsDimension,WithinOneYear,20259091,3063756,12732874
Creditors,FinancialInstrumentCurrentNon-currentDimension,CurrentFinancialInstruments,16119644,2114189,10186506
Creditors,MaturitiesOrExpirationPeriodsDimension,AfterOneYear,8564443,1552124,5642081
Creditors,FinancialInstrumentCurrentNon-currentDimension,Non-currentFinancialInstruments,5512424,804307,3635486
Creditors,MaturitiesOrExpirationPeriodsDimension,MoreThanFiveYears,7985,1686,5592
Creditors,CharityFundsDimension,TotalUnrestrictedFunds,1549,650,1549
Creditors,CharityFundsDimension,TotalRestrictedIncomeFunds,1426,541,1426
Creditors,GroupCompanyDataDimension,Consolidated,1328,546,1191
Creditors,OriginalRevisedDataDimension,Original,273,137,273
Creditors,MaturitiesOrExpirationPeriodsDimension,BetweenTwoFiveYears,46,21,43
Creditors,RestatementsFirstTimeAdoptionDimension,RestatedAmount,25,21,25
Creditors,CharityFundsDimension,TotalEndowmentFunds,21,8,21
Creditors,MaturitiesOrExpirationPeriodsDimension,BetweenFive10Years,15,8,15
Creditors,MaturitiesOrExpirationPeriodsDimension,BetweenOneFiveYears,12,7,12
Creditors,ProductsServicesDimension,ProductService2,8,8,8
Creditors,ProductsServicesDimension,ProductService1,8,8,8
Creditors,RestatementsFirstTimeAdoptionDimension,PreviouslyStatedAmount,7,5,7
Creditors,RestatementsFirstTimeAdoptionDimension,PriorPeriodIncreaseDecrease,5,5,5
Creditors,ContinuingDiscontinuedOperationsDimension,ContinuingOperations,4,2,4
Creditors,RestatementsFirstTimeAdoptionDimension,IncreaseDecreaseDueToTransitionFromPreviousStandard,4,3,4
Creditors,FinancialInstrumentValueTypeDimension,Cost,4,2,4
Creditors,ContinuingDiscontinuedOperationsDimension,Non-currentAssetsDisposalGroupsHeldForSale,3,2,3
Creditors,FinancialInstrumentsClassesCategoriesDimension,FinancialLiabilitiesAmortisedCost,2,1,2
Creditors,RestatementsFirstTimeAdoptionDimension,CumulativeEffectDateInitialApplicationIncreaseDecrease,2,1,2
Creditors,ProductsServicesDimension,OtherProductsServices,2,1,2
Creditors,FinancialInstrumentsClassesCategoriesDimension,FinancialInstrumentsCostLessImpairment,2,1,2
Creditors,GeographicSegmentsDimension,UnitedKingdom,2,1,2
Creditors,RestatementsFirstTimeAdoptionDimension,PriorPeriodErrorIncreaseDecrease,2,2,2
Creditors,FinancialInstrumentLevelDimension,Level1,2,1,2
Creditors,MaturitiesOrExpirationPeriodsDimension,Between6MonthsOneYear,2,1,2
Creditors,MaturitiesOrExpirationPeriodsDimension,Within30Days,1,1,1
Creditors,FinancialInstrumentValueTypeDimension,ContractualUndiscountedValue,1,1,1
Creditors,MaturitiesOrExpirationPeriodsDimension,AllPeriods,1,1,1
Creditors,CharityFundsDimension,UnrestrictedFundsGeneral,1,1,1
Creditors,MaturitiesOrExpirationPeriodsDimension,Within3Months,1,1,1
Creditors,GeographicSegmentsDimension,EnglandWales,1,1,1
CurrentAssets,OriginalRevisedDataDimension,Original,407463,208809,405442
CurrentAssets,GroupCompanyDataDimension,Consolidated,10779,2850,8291
CurrentAssets,CharityFundsDimension,TotalUnrestrictedFunds,8260,2762,8258
CurrentAssets,CharityFundsDimension,TotalRestrictedIncomeFunds,8157,2656,8155
CurrentAssets,RestatementsFirstTimeAdoptionDimension,RestatedAmount,4027,3701,4027
CurrentAssets,RestatementsFirstTimeAdoptionDimension,IncreaseDecreaseDueToTransitionFromPreviousStandard,1755,1003,1752
CurrentAssets,RestatementsFirstTimeAdoptionDimension,PreviouslyStatedAmount,1330,836,1324
CurrentAssets,RestatementsDimension,RestatedAmount,418,407,416
CurrentAssets,ContinuingDiscontinuedOperationsDimension,ContinuingOperations,281,42,182
CurrentAssets,CharityFundsDimension,TotalEndowmentFunds,208,74,208
CurrentAssets,ConsolidationDimension,Consolidated,113,42,99
CurrentAssets,CharityFundsDimension,UnrestrictedFundsGeneral,17,9,17
CurrentAssets,RestatementsFirstTimeAdoptionDimension,PriorPeriodIncreaseDecrease,14,11,14
CurrentAssets,ContinuingDiscontinuedOperationsDimension,Non-currentAssetsDisposalGroupsHeldForSale,10,2,7
CurrentAssets,RestatementsFirstTimeAdoptionDimension,CumulativeEffectDateInitialApplicationIncreaseDecrease,9,5,9
CurrentAssets,RestatementsFirstTimeAdoptionDimension,AccountingPolicyChangeIncreaseDecrease,9,5,9
CurrentAssets,CharityFundsDimension,RestrictedIncomeFunds,7,4,7
CurrentAssets,OriginalRevisedDataDimension,Revised,6,3,5
CurrentAssets,RestatementsFirstTimeAdoptionDimension,PriorPeriodErrorIncreaseDecrease,5,3,5
CurrentAssets,GeographicSegmentsDimension,EnglandWales,3,2,3
CurrentAssets,ConsolidationDimension,ShareJoint-ventures,2,1,2
Debtors,FinancialInstrumentCurrentNon-currentDimension,CurrentFinancialInstruments,2000318,375695,1349701
Debtors,MaturitiesOrExpirationPeriodsDimension,WithinOneYear,582495,129206,416686
Debtors,OriginalRevisedDataDimension,Original,265825,135587,264554
Debtors,MaturitiesOrExpirationPeriodsDimension,AfterOneYear,129880,46071,106097
Debtors,FinancialInstrumentCurrentNon-currentDimension,Non-currentFinancialInstruments,110924,26990,80958
Debtors,GroupCompanyDataDimension,Consolidated,7346,1894,5627
Debtors,CharityFundsDimension,TotalUnrestrictedFunds,6855,2279,6853
Debtors,CharityFundsDimension,TotalRestrictedIncomeFunds,6815,2221,6813
Debtors,RestatementsFirstTimeAdoptionDimension,RestatedAmount,1721,1585,1718
Debtors,RestatementsFirstTimeAdoptionDimension,PreviouslyStatedAmount,904,594,899
Debtors,MaturitiesOrExpirationPeriodsDimension,AllPeriods,658,138,485
Debtors,RestatementsDimension,RestatedAmount,389,378,387
Debtors,CharityFundsDimension,TotalEndowmentFunds,179,67,179
Debtors,GroupCompanyDimension,Consolidated,115,43,101
Debtors,RestatementsFirstTimeAdoptionDimension,IncreaseDecreaseDueToTransitionFromPreviousStandard,61,59,61
Debtors,RestatementsFirstTimeAdoptionDimension,PriorPeriodIncreaseDecrease,27,18,27
Debtors,ContinuingDiscontinuedOperationsDimension,ContinuingOperations,27,17,27
Debtors,RestatementsFirstTimeAdoptionDimension,AccountingPolicyChangeIncreaseDecrease,25,14,25
Debtors,OperatingActivitiesDimension,ContinuingOperationsIncludingAcquisitions,23,5,16
Debtors,RestatementsFirstTimeAdoptionDimension,PriorPeriodErrorIncreaseDecrease,17,12,17
Debtors,MaturitiesOrExpirationPeriodsDimension,BetweenOneFiveYears,9,2,7
Debtors,RestatementsFirstTimeAdoptionDimension,CumulativeEffectDateInitialApplicationIncreaseDecrease,9,4,9
Debtors,ProductsServicesDimension,ProductService1,8,8,8
Debtors,MaturitiesOrExpirationPeriodsDimension,BetweenTwoFiveYears,5,4,5
Debtors,RestatementsDimension,PriorPeriodIncreaseDecrease,3,2,3
Debtors,OriginalRevisedDataDimension,Revised,3,3,3
Debtors,FinancialInstrumentsClassesCategoriesDimension,FinancialAssetsAmortisedCost,2,1,2
Debtors,GeographicSegmentsDimension,NorthernIreland,2,1,2
Debtors,RestatementsDimension,MaterialErrorIncreaseDecrease,2,1,2
Debtors,FinancialInstrumentLevelDimension,Level1,2,1,2
Debtors,CurrencyDenominationFinancialInstrumentsDimension,USDollar,2,1,2
Debtors,MaturitiesOrExpirationPeriodsDimension,MoreThanFiveYears,1,1,1
Debtors,FinancialInstrumentValueTypeDimension,ContractualUndiscountedValue,1,1,1
Debtors,CharityFundsDimension,UnrestrictedFundsGeneral,1,1,1
Equity,EquityClassesDimension,ShareCapital,19949779,2550746,12402470
Equity,EquityClassesDimension,RetainedEarningsAccumulatedLosses,19113466,2417624,11866475
Equity,EquityClassesDimension,SharePremium,944766,137776,604749
Equity,EquityClassesDimension,RevaluationReserve,790305,121630,504100
Equity,RestatementsFirstTimeAdoptionDimension,PreviouslyStatedAmount,675493,188376,501442
Equity,EquityClassesDimension,ShareCapitalOrdinaryShares,592121,137979,433702
Equity,EquityClassesDimension,CapitalRedemptionReserve,492409,50807,302417
Equity,OriginalRevisedDataDimension,Original,480533,247322,477867
Equity,EquityClassesDimension,OtherReservesSubtotal,261735,67175,191744
Equity,EquityClassesDimension,ShareCapitalOrdinaryShareClass1,177959,74816,161430
Equity,EquityClassesDimension,FurtherSpecificReserve1ComponentTotalEquity,173901,26257,114615
Equity,EquityClassesDimension,FurtherSpecificReserve3ComponentTotalEquity,153721,20410,100277
Equity,EquityClassesDimension,OtherMiscellaneousReserve,118335,18063,79296
Equity,EquityClassesDimension,ShareCapitalOrdinaryShareClass2,41609,17470,37783
Equity,RestatementsFirstTimeAdoptionDimension,RestatedAmount,40135,27143,38651
Equity,EquityClassesDimension,TotalEquityAttributableToOwnersParentBeforeNon-controllingInterests,37239,7782,25844
Equity,EquityClassesDimension,FurtherSpecificReserve2ComponentTotalEquity,28028,3964,18147
Equity,GroupCompanyDataDimension,Consolidated,23160,6271,17674
Equity,EquityClassesDimension,CapitalReserve,22817,5049,15947
Equity,EquityClassesDimension,ShareCapitalOrdinaryShareClass3,21176,8872,19216
Equity,EquityClassesDimension,InvestmentPropertiesRevaluationReserve,16384,2396,11213
Equity,EquityClassesDimension,ShareCapitalOrdinaryShareClass4,11019,4670,10045
Equity,EquityClassesDimension,HedgingReserve,8187,1396,5123
Equity,EquityClassesDimension,CapitalContributionReserve,6856,1897,5101
Equity,EquityClassesDimension,OtherCapitalInstrumentsClassifiedAsEquity,6098,1229,4311
Equity,EquityClassesDimension,PropertiesRevaluationReserve,5654,871,4237
Equity,EquityClassesDimension,ShareCapitalOrdinaryShareClass5,5509,2329,5021
Equity,RestatementsFirstTimeAdoptionDimension,IncreaseDecreaseDueToTransitionFromPreviousStandard,5342,3251,5336
Equity,EquityClassesDimension,SharePremiumOrdinaryShares,5001,980,3435
Equity,EquityClassesDimension,ShareCapitalPreferenceShares,4881,1321,3745
Equity,EquityClassesDimension,OtherCapitalReserve,4066,999,3050
Equity,EquityClassesDimension,ForeignCurrencyTranslationReserve,3278,592,2474
Equity,EquityClassesDimension,MergerReserve,2685,449,2001
Equity,EquityClassesDimension,ShareCapitalPreferenceShareClass1,2324,1040,2128
Equity,EquityClassesDimension,ShareCapitalOtherShareTypes,1585,496,1325
Equity,EquityClassesDimension,TreasurySharesOwnSharesReserve,1454,268,979
Equity,RestatementsFirstTimeAdoptionDimension,PriorPeriodIncreaseDecrease,1215,801,985
Equity,ContinuingDiscontinuedOperationsDimension,ContinuingOperations,447,106,322
Equity,EquityClassesDimension,AssetRevaluationSurplusReserve,359,94,271
Equity,RestatementsFirstTimeAdoptionDimension,PriorPeriodErrorIncreaseDecrease,321,237,318
Equity,EquityClassesDimension,Share-basedPaymentsReserve,287,66,211
Equity,EquityClassesDimension,Non-controllingInterests,285,97,225
Equity,EquityClassesDimension,ShareCapitalSharePremiumSubtotal,267,139,257
Equity,EquityClassesDimension,ShareCapitalPreferenceShareClass2,205,118,197
Equity,EquityClassesDimension,ConvertibleDebtEquityComponentReserve,171,76,153
